year,Song Name,Authors,Album,Link
1996,Coco Jamboo,Mr. President,We See The Same Sun,https://open.spotify.com/track/5fRvePkRGdpn2nKacG7I6d
1996,Lovefool,The Cardigans,First Band On The Moon (Remastered),https://open.spotify.com/track/7aQjPecQdIuNd1sz3KCDhD
1997,Miami,Will Smith,Big Willie Style,https://open.spotify.com/track/6e8Ou0wiqAzIpWb2eSxll8
1997,Ecuador - Original Radio Edit,Sash!,It's My Life,https://open.spotify.com/track/1arJHhz6TxMV50SNvSmGnV
1998,Enjoy the Silence,Depeche Mode,The Singles 86-98,https://open.spotify.com/track/6WK9dVrRABMkUXFLNlgWFh
1998,"Yes Sir, I Can Boogie",Baccara,The Collection & Tracklisting,https://open.spotify.com/track/2LScqpywMqGcnum6nNaxXX
1998,Careless Whisper,George Michael,Ladies & Gentlemen,https://open.spotify.com/track/5WDLRQ3VCdVrKw0njWe5E5
1998,I Belong To You,Lenny Kravitz,5,https://open.spotify.com/track/02UjN28wB5uyeqUhZTiuZ2
1998,Iris,The Goo Goo Dolls,Dizzy up the Girl,https://open.spotify.com/track/6Qyc6fS4DsZjB2mRW9DsQs
1998,California Love - Original Version (Explicit),"2Pac, Roger, Dr. Dre",2Pac Greatest Hits (Explicit Version),https://open.spotify.com/track/0DfqzZnW2KhiyXjVQiFioT
1999,Długość dźwięku samotności,Myslovitz,Miłość w czasach popkultury,https://open.spotify.com/track/5ytkHKps6RVVDFZwAqVDCB
1999,Get Down On It - Single Version,Kool & The Gang,The Very Best Of Kool & The Gang,https://open.spotify.com/track/4yKZACkuudvfd600H2dQie
1999,Scar Tissue,Red Hot Chili Peppers,Californication (Deluxe Edition),https://open.spotify.com/track/1G391cbiT3v3Cywg8T7DM1
1999,Get Down On It - Single Version,Kool & The Gang,The Very Best Of Kool & The Gang,https://open.spotify.com/track/1OsCKwNZxph96EkNusILRy
1999,"Boom, Boom, Boom, Boom!!",Vengaboys,The Party Album!,https://open.spotify.com/track/5N6M8yDiMV32T6Rkzh8EbW
1999,Livin' la Vida Loca,Ricky Martin,Ricky Martin,https://open.spotify.com/track/0Ph6L4l8dYUuXFmb71Ajnd
2000,The Real Slim Shady,Eminem,The Marshall Mathers LP,https://open.spotify.com/track/3yfqSUWxFvZELEM4PmlwIR
2000,Ms. Jackson,Outkast,Stankonia,https://open.spotify.com/track/0I3q5fE6wg7LIfHGngUTnV
2000,Red Red Wine,UB40,The Very Best Of,https://open.spotify.com/track/4uOKFydzAejjSFqYbv1XPt
2000,I Will Survive - Single Version,Gloria Gaynor,20th Century Masters: The Millennium Collection: Best Of Gloria Gaynor,https://open.spotify.com/track/7cv28LXcjAC3GsXbUvXKbX
2001,Move Bitch,"Ludacris, Mystikal, I-20",Word Of Mouf,https://open.spotify.com/track/1Q9b6CeMcDuO0uq5OJCrqu
2001,Zawsze Z Toba Chcialbym Byc... (Przez Miesiac :) ),Ich Troje,Ad.4,https://open.spotify.com/track/1ruDMWJJSz1sceqdY6zsIX
2001,It Was A Good Day,Ice Cube,Greatest Hits,https://open.spotify.com/track/2GrOq1y5gksYrqkc8Jzl9T
2001,Sandstorm,Darude,"Before the Storm, Special Edition",https://open.spotify.com/track/6Sy9BUbgFse0n0LPA5lwy5
2002,The Ketchup Song (Aserejé) - Spanglish Version,Las Ketchup,Hijas del Tomate,https://open.spotify.com/track/6UEfyhyfhYQsyipxOd95Ie
2002,Without Me,Eminem,The Eminem Show,https://open.spotify.com/track/7lQ8MOhq6IN2w8EYcFNSUk
2002,Hot In Herre,Nelly,Nellyville,https://open.spotify.com/track/04KTF78FFg8sOHC1BADqbY
2002,A Thousand Miles,Vanessa Carlton,Be Not Nobody,https://open.spotify.com/track/4w1lzcaoZ1IC2K5TwjalRP
2003,Testosteron,Kayah,Stereo Typ,https://open.spotify.com/track/4E2Bg0ui1bMfAsvXiMMymy
2003,Tell It to My Heart,Taylor Dayne,Platinum & Gold Collection,https://open.spotify.com/track/6jJCk7oHNwyowOUaF3gXEu
2003,Be My Lover,La Bouche,Best Of La Bouche feat. Melanie Thornton (feat. Melanie Thornton),https://open.spotify.com/track/3vSn1frPgFcRXrjWOfhMLl
2003,Hey Ya!,Outkast,The Way You Move / Hey Ya!,https://open.spotify.com/track/3AszgPDZd9q0DpDFt4HFBy
2003,The Magic Key,One-T,The One-T ODC,https://open.spotify.com/track/1VsuSOEVhuCaybeb1rFeCM
2003,Milkshake,Kelis,Tasty,https://open.spotify.com/track/26wpcLqBHEfOL00i1rdbun
2004,Dzaga,Virgin,Bimbo,https://open.spotify.com/track/0Y8KomrOSA3OXlehtALUgf
2004,Otwieram wino (feat. Pezet),"Sidney Polak, Pezet",Sidney Polak,https://open.spotify.com/track/5LIV8pmvUQ968OuMAByBJE
2004,Yeah! (feat. Lil Jon & Ludacris),"USHER, Lil Jon, Ludacris",Confessions (Expanded Edition),https://open.spotify.com/track/5rb9QrpfcKFHM1EUbSIurX
2005,Stupid Cupid,Connie Francis,Gold,https://open.spotify.com/track/3nUrhP3KuK4R1qdxRk2Kgo
2005,Out Of Touch,Uniting Nations,One World,https://open.spotify.com/track/61tuhfTN2wIockEGGbZnis
2005,Touch The Sky,"Kanye West, Lupe Fiasco",Late Registration,https://open.spotify.com/track/2dxjKgT0li4qBI3QwuN9Ih
2006,Copacabana (At the Copa),Barry Manilow,Dance Vault Mixes - Copacabana (At The Copa),https://open.spotify.com/track/5FMXrphygZ4z3gVDHGWxgl
2006,Na Kolana,Kasia Cerekwicka,Feniks,https://open.spotify.com/track/6fft9H9kYTdjziM7DAZ3uk
2006,Na zawsze i na wieczność,Wilki,Obrazki,https://open.spotify.com/track/4Dw3fQrWGRteHRDeCAIrIY
2006,Back To Black,Amy Winehouse,Back To Black (Deluxe Edition),https://open.spotify.com/track/3FAclTFfvUuQYnEsptbK8w
2007,I'm Still Standing,Elton John,Rocket Man (Deluxe Edition),https://open.spotify.com/track/0lzpfrTARexLFXEACKSXTh
2007,Nie Daj Sie,Doda,Diamond Bitch,https://open.spotify.com/track/5EntcoGBnYVoicFdiywYLu
2007,No pokaż na co cię stać,Feel,Feel,https://open.spotify.com/track/1VS9xug6sikx03xplA3JbX
2007,Changes,"2Pac, Talent",The Best of 2Pac,https://open.spotify.com/track/00i2HU7TEzzftShjRrDSEF
2007,Electric Feel,MGMT,Oracular Spectacular,https://open.spotify.com/track/3FtYbEfBqAlGO46NUDQSAt
2007,All I Need,Radiohead,In Rainbows,https://open.spotify.com/track/5Qv2Nby1xTr9pQyjkrc94J
2007,Physical,Olivia Newton-John,Good Luck Chuck (Original Motion Picture Soundtrack),https://open.spotify.com/track/5FFAqdNj7SAzVCOpPp3QZI
